address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"1524 78th St, Brooklyn, NY 11228",11228,1600000,1772,5,3.0,40.615364,-74.00435,multi-family
"8204 15th Ave, Brooklyn, NY 11228",11228,1600000,2204,0,4.0,40.61371,-74.00752,multi-family
"1555 73rd St, Brooklyn, NY 11228",11228,1595000,4000,3,2.0,40.618126,-74.00023,single-family home
"1451 76th St, Brooklyn, NY 11228",11228,1099888,1334,3,2.0,40.617752,-74.004364,single-family home
"807 73rd St, Brooklyn, NY 11228",11228,1788000,1800,7,3.0,40.62796,-74.01651,townhouse
"7318 12th Ave, Brooklyn, NY 11228",11228,1399000,2040,6,2.0,40.622562,-74.00908,multi-family
"1349 76th St, Brooklyn, NY 11228",11228,1149000,1478,4,2.0,40.61911,-74.006615,multi-family
"681 88th St #1A, Brooklyn, NY 11228",11228,888000,1465,2,3.0,40.61785,-74.02181,condo
"8975 15th Ave #2B, Brooklyn, NY 11228",11228,322500,650,1,1.0,40.60389,-74.017075,coop
"705 86th St, Brooklyn, NY 11228",11228,5100000,12399,0,4.0,40.61905,-74.02161,single-family home
"1513 71st St, Brooklyn, NY 11228",11228,1868000,3200,8,4.0,40.619835,-74.000046,multi-family
"1534 74th St, Brooklyn, NY 11228",11228,1599800,3000,9,4.0,40.617535,-74.001686,multi-family
"8775 14th Ave, Brooklyn, NY 11228",11228,1248000,2095,4,3.0,40.60897,-74.01523,multi-family
"1331 70th St, Brooklyn, NY 11228",11228,1988888,3375,8,4.0,40.6228,-74.00345,multi-family
"8748 15th Ave, Brooklyn, NY 11228",11228,1250000,1480,4,3.0,40.608627,-74.0128,multi-family
"8977 15th Ave #1A, Brooklyn, NY 11228",11228,369000,650,1,1.0,40.603848,-74.01712,coop
"8855 15th Ave, Brooklyn, NY 11228",11228,3468000,3840,8,4.0,40.606117,-74.01461,single-family home
"1006 71st St, Brooklyn, NY 11228",11228,2590000,3878,0,5.0,40.626324,-74.01151,multi-family
"1221 77th St, Brooklyn, NY 11228",11228,1300000,1328,3,2.0,40.620285,-74.01007,single-family home
"8216 15th Ave, Brooklyn, NY 11228",11228,1599000,2204,5,4.0,40.61349,-74.007744,multi-family
"1024 82nd St, Brooklyn, NY 11228",11228,2488000,1788,4,4.0,40.61976,-74.017654,single-family home
"1320 85th St, Brooklyn, NY 11228",11228,2099000,3228,8,3.0,40.614086,-74.01279,multi-family
"8312 13th Ave, Brooklyn, NY 11228",11228,1699000,2000,6,2.0,40.61564,-74.012695,apartment
"121 Bay 7 St, Brooklyn, NY 11228",11228,1098000,1933,3,2.0,40.609703,-74.0133,single-family home
"641 88th St #3A, Brooklyn, NY 11228",11228,729000,1100,2,2.0,40.6185,-74.02281,condo
"626 92nd St, Brooklyn, NY 11228",11228,1898888,4000,8,5.0,40.61574,-74.02571,multi-family
"1338 71st St, Brooklyn, NY 11228",11228,1090000,1518,4,3.0,40.621822,-74.00425,single-family home
"1414 80th St, Brooklyn, NY 11228",11228,1080000,1368,4,3.0,40.615707,-74.00793,single-family home
"121 Bay 7th St, Brooklyn, NY 11228",11228,1098000,1541,3,2.0,40.609707,-74.0133,single-family home
